"label","n","rssi0","rssi1","rssi2","dist0","dist1","dist2","x","y"
"null","5","-65.0","-40.0","-43.0","451.64838795074616","119.60652313226954","101.68477609614843","461.3720605406532","203.57163704790702"
"c","5","-66.0","-39.0","-41.0","484.5707644288582","112.87759700587002","86.6604891297616","489.41565446913205","223.02260143983642"
"c","5","-59.0","-38.0","-41.0","296.11472294300324","106.52723256347221","86.6604891297616","366.811573972835","132.81116685284803"
"c","5","-55.0","-37.0","-44.0","223.47709934260686","100.53413235792004","110.14716839968943","331.50801268676315","113.66261818695959"
"c","5","-55.0","-37.0","-39.0","223.47709934260686","100.53413235792004","73.85609394574838","337.0727427647184","109.48907062849314"
"c","5","-55.0","-37.0","-42.0","223.47709934260686","100.53413235792004","93.87253290256162","334.27496791420236","111.58740176638017"
"c","5","-55.0","-37.0","-40.0","223.47709934260686","100.53413235792004","80.00253262586241","336.28467392002767","110.08012226201122"
"c","5","-57.0","-42.0","-40.0","257.2447460220365","134.29167388973838","80.00253262586241","349.812045107825","110.31672326892412"
"c","5","-58.0","-44.0","-39.0","275.9962983390512","150.77985049497892","73.85609394574838","358.9326950699461","110.09972042450335"
"c","5","-57.0","-43.0","-40.0","257.2447460220365","142.2971486426036","80.00253262586241","349.81204510782493","107.54894222428987"
"c","5","-64.0","-39.0","-44.0","420.962801127586","112.87759700587002","110.14716839968943","437.5644010222616","189.91210926750867"
"c","5","-64.0","-39.0","-47.0","420.962801127586","112.87759700587002","139.99919488456868","431.34158780404675","194.57921918116986"
"c","5","-63.0","-41.0","-42.0","392.3620335217687","126.73657798585296","93.87253290256162","420.94659409649586","169.1473108648448"
"c","5","-65.0","-41.0","-42.0","451.64838795074616","126.73657798585296","93.87253290256162","462.6451782541377","200.42124898307614"
"c","5","-65.0","-41.0","-42.0","451.64838795074616","126.73657798585296","93.87253290256162","462.6451782541377","200.42124898307614"
"c","5","-70.0","-41.0","-43.0","642.0726690888006","126.73657798585296","101.68477609614843","634.9312655842439","331.5454910508824"
"c","5","-74.0","-41.0","-42.0","850.7680253403762","126.73657798585296","93.87253290256162","895.8284837566838","525.3087281099857"
"c","5","-72.0","-41.0","-44.0","739.0905876857745","126.73657798585296","110.14716839968943","745.1020817493617","416.41435944565296"
"c","5","-71.0","-41.0","-44.0","688.8757989172035","126.73657798585296","110.14716839968943","685.3478896894549","371.5987154007229"
"c","5","-66.0","-41.0","-42.0","484.5707644288582","126.73657798585296","93.87253290256162","488.3306444213546","219.68534860848885"
"c","5","-66.0","-40.0","-45.0","484.5707644288582","119.60652313226954","119.31381640647665","483.8108657947413","225.27073235816633"
"c","5","-66.0","-38.0","-46.0","484.5707644288582","106.52723256347221","129.2433295590607","481.7541562530467","230.51035088713482"
"c","5","-63.0","-40.0","-40.0","392.3620335217687","119.60652313226954","80.00253262586241","422.9563001023211","169.8355811401934"
"c","5","-63.0","-40.0","-43.0","392.3620335217687","119.60652313226954","101.68477609614843","419.6734763830114","172.29769892967568"
"c","5","-63.0","-40.0","-41.0","392.3620335217687","119.60652313226954","86.6604891297616","422.03160414427333","170.52910310872923"
"c","5","-63.0","-41.0","-41.0","392.3620335217687","126.73657798585296","86.6604891297616","422.03160414427333","168.33355332901166"
"c","5","-63.0","-41.0","-44.0","392.3620335217687","126.73657798585296","110.14716839968943","418.17963886905665","171.2225272854242"
"c","5","-63.0","-41.0","-44.0","392.3620335217687","126.73657798585296","110.14716839968943","418.17963886905665","171.2225272854242"
"c","5","-63.0","-41.0","-44.0","392.3620335217687","126.73657798585296","110.14716839968943","418.17963886905665","171.2225272854242"
"c","5","-62.0","-40.0","-43.0","365.7044397675386","119.60652313226954","101.68477609614843","402.83328631330454","159.66755637739556"
"c","5","-62.0","-40.0","-41.0","365.7044397675386","119.60652313226954","86.6604891297616","405.19141407456647","157.8989605564491"
"c","5","-62.0","-40.0","-45.0","365.7044397675386","119.60652313226954","119.31381640647665","399.5866254001757","162.10255206224215"
"c","5","-62.0","-40.0","-43.0","365.7044397675386","119.60652313226954","101.68477609614843","402.83328631330454","159.66755637739556"
"c","5","-62.0","-40.0","-41.0","365.7044397675386","119.60652313226954","86.6604891297616","405.19141407456647","157.8989605564491"
"c","5","-63.0","-38.0","-43.0","392.3620335217687","106.52723256347221","101.68477609614843","419.6734763830114","175.99478530237323"
"c","5","-63.0","-38.0","-42.0","392.3620335217687","106.52723256347221","93.87253290256162","420.94659409649586","175.03994701725992"
"c","5","-64.0","-38.0","-46.0","420.962801127586","106.52723256347221","129.2433295590607","433.7548680813929","194.51088475839458"
"c","5","-64.0","-38.0","-43.0","420.962801127586","106.52723256347221","101.68477609614843","439.0582385362163","190.533356917277"
"c","5","-64.0","-39.0","-46.0","420.962801127586","112.87759700587002","129.2433295590607","433.75486808139294","192.76925897316016"
"c","5","-51.0","-42.0","-49.0","168.65765212288457","134.29167388973838","164.27078739611517","301.21709335655356","99.60111741195495"
"c","5","-50.0","-39.0","-44.0","157.19882891953128","112.87759700587002","110.14716839968943","310.48256092266877","94.60072919281401"
"c","5","-50.0","-39.0","-42.0","157.19882891953128","112.87759700587002","93.87253290256162","313.2495161501079","92.52551277223462"
"c","5","-50.0","-36.0","-43.0","157.19882891953128","94.87819711206384","101.68477609614843","311.9763984366235","98.1547005805779"
"c","5","-72.0","-40.0","-43.0","739.0905876857745","119.60652313226954","101.68477609614843","746.5959192633164","417.4895310899044"
"c","5","-67.0","-38.0","-44.0","519.8929787053169","106.52723256347221","110.14716839968943","515.130258833848","249.82812841143271"
"c","5","-67.0","-45.0","-42.0","519.8929787053169","159.76822819119724","93.87253290256162","517.8972140612872","230.0306176637004"
"c","5","-52.0","-49.0","-45.0","180.95175272689156","201.40899450673038","119.31381640647665","315.42312502454644","66.15509841499264"
"c","5","-52.0","-45.0","-43.0","180.95175272689156","159.76822819119724","101.68477609614843","318.6697859376752","82.51972314121812"
"c","5","-60.0","-43.0","-42.0","317.69965637689495","142.2971486426036","93.87253290256162","376.7675160237122","130.78010441994329"
"c","5","-62.0","-41.0","-44.0","365.7044397675386","126.73657798585296","110.14716839968943","401.3394487993498","158.59238473314406"
"c","10","-63.0","-39.0","-42.0","392.3620335217687","112.87759700587002","93.87253290256162","420.94659409649586","173.29832123202553"
"c","10","-56.0","-46.0","-48.0","239.76719888702527","169.29242637897758","151.65018291617812","328.7421097363501","101.97889773879847"
"c","10","-60.0","-44.0","-42.0","317.69965637689495","150.77985049497892","93.87253290256162","376.7675160237122","127.67249841560206"
"c","10","-59.0","-41.0","-48.0","296.11472294300324","126.73657798585296","151.65018291617812","353.90512597091777","136.5983667018709"
"c","10","-59.0","-40.0","-46.0","296.11472294300324","119.60652313226954","129.2433295590607","359.15007575674963","134.86020414221454"
"c","10","-59.0","-40.0","-42.0","296.11472294300324","119.60652313226954","93.87253290256162","365.7265639250575","129.92783801598367"
"c","10","-58.0","-48.0","-44.0","275.9962983390512","190.07795494687755","110.14716839968943","353.36796499199085","97.52943593109605"
"c","10","-59.0","-40.0","-44.0","296.11472294300324","119.60652313226954","110.14716839968943","362.9596086976183","132.00305443656305"
"c","10","-74.0","-40.0","-44.0","850.7680253403762","119.60652313226954","110.14716839968943","893.0615285292446","529.5794943102827"
"c","10","-59.0","-40.0","-46.0","296.11472294300324","119.60652313226954","129.2433295590607","359.15007575674963","134.86020414221454"
"c","10","-58.0","-39.0","-43.0","275.9962983390512","112.87759700587002","101.68477609614843","354.86180250594566","125.64440410933949"
"c","10","-53.0","-40.0","-44.0","194.142017292385","119.60652313226954","110.14716839968943","321.29893680990597","100.75755052077876"
"c","10","-51.0","-40.0","-46.0","168.65765212288457","119.60652313226954","129.2433295590607","309.7846378200767","97.83612568970977"
"c","10","-52.0","-40.0","-46.0","180.95175272689156","119.60652313226954","129.2433295590607","313.3664154828518","100.52245893679112"
"c","10","-53.0","-40.0","-46.0","194.142017292385","119.60652313226954","129.2433295590607","317.48940386903735","103.61470022643026"
"c","10","-52.0","-40.0","-43.0","180.95175272689156","119.60652313226954","101.68477609614843","318.6697859376752","96.54493109567353"
"c","10","-57.0","-46.0","-44.0","257.2447460220365","169.29242637897758","110.14716839968943","345.03538387456047","100.61712925240536"
"c","10","-56.0","-56.0","-47.0","239.76719888702527","302.0707233236139","139.99919488456868","331.57377924483575","21.621650282472"
"c","10","-57.0","-41.0","-44.0","257.2447460220365","126.73657798585296","110.14716839968943","345.0353838745604","116.36433603955203"
"c","10","-65.0","-40.0","-40.0","451.64838795074616","119.60652313226954","80.00253262586241","464.6548842599629","201.10951925842477"
"c","10","-65.0","-41.0","-40.0","451.64838795074616","126.73657798585296","80.00253262586241","464.6548842599629","198.9139694787072"
