"label","n","rssi0","rssi1","rssi2","dist0","dist1","dist2","x","y"
"null","5","-46.0","-40.0","-48.0","118.63759409812769","119.60652313226954","151.65018291617812","292.56425062906817","92.78825997520133"
"b","5","-47.0","-40.0","-56.0","127.2855415757614","119.60652313226954","287.4631242745907","244.63880106377172","131.39076010022714"
"b","5","-48.0","-40.0","-60.0","136.56387098371357","119.60652313226954","395.77808500450413","185.00783190685317","179.17408917269285"
"b","5","-48.0","-39.0","-48.0","136.56387098371357","112.87759700587002","151.65018291617812","296.37659406628836","97.60297814057967"
"b","5","-45.0","-39.0","-56.0","110.57719957152096","112.87759700587002","287.4631242745907","241.32689103947598","130.86228816946848"
"b","5","-48.0","-39.0","-59.0","136.56387098371357","112.87759700587002","365.37122598930904","204.29463173093802","166.66444989209242"
"b","5","-48.0","-39.0","-58.0","136.56387098371357","112.87759700587002","337.3004666981788","220.73173835270592","154.3366199257665"
"b","5","-48.0","-39.0","-62.0","136.56387098371357","112.87759700587002","464.39393963245357","135.82329974225448","218.01794888360507"
"b","5","-48.0","-39.0","-58.0","136.56387098371357","112.87759700587002","337.3004666981788","220.73173835270592","154.3366199257665"
"b","5","-48.0","-39.0","-49.0","136.56387098371357","112.87759700587002","164.27078739611517","293.0539993885972","100.09492414884802"
"b","5","-43.0","-36.0","-49.0","96.06210504122478","94.87819711206384","164.27078739611517","285.2025303610097","98.88067190138732"
"b","5","-44.0","-37.0","-49.0","103.06443887395848","100.53413235792004","164.27078739611517","286.36448914055353","98.37059163389002"
"b","5","-45.0","-36.0","-51.0","110.57719957152096","94.87819711206384","192.75033412862905","279.2288547986515","107.11016487331679"
"b","5","-45.0","-36.0","-50.0","110.57719957152096","94.87819711206384","177.9417015715377","283.80338992242156","103.67926353048931"
"b","5","-44.0","-43.0","-48.0","103.06443887395848","142.2971486426036","151.65018291617812","289.6870838182447","83.20193719705235"
"b","5","-44.0","-36.0","-49.0","103.06443887395848","94.87819711206384","164.27078739611517","286.36448914055353","99.7521409860452"
"b","5","-44.0","-36.0","-48.0","103.06443887395848","94.87819711206384","151.65018291617812","289.6870838182447","97.26019497777683"
"b","5","-43.0","-36.0","-50.0","96.06210504122478","94.87819711206384","177.9417015715377","281.3038990556476","101.80464538040887"
"b","5","-46.0","-36.0","-48.0","118.63759409812769","94.87819711206384","151.65018291617812","292.56425062906817","99.41807008589444"
"b","5","-46.0","-36.0","-47.0","118.63759409812769","94.87819711206384","139.99919488456868","295.3959201375539","97.29431795453014"
"b","5","-45.0","-35.0","-47.0","110.57719957152096","89.54045831108701","139.99919488456868","293.8562854139605","97.37006517768025"
"b","5","-45.0","-33.0","-47.0","110.57719957152096","79.74897168272915","139.99919488456868","293.8562854139605","99.44205916531372"
"b","5","-45.0","-35.0","-47.0","110.57719957152096","89.54045831108701","139.99919488456868","293.8562854139605","97.37006517768025"
