"label","n","rssi1","rssi2","rssi3","dist1","dist2","dist3","x","y"
"f","1","-57.0","-34.0","-45.0","257.2447460220365","84.50301458711084","119.31381640647665","343.2825604753864","128.83070449550098"
"f","1","-57.0","-34.0","-45.0","257.2447460220365","84.50301458711084","119.31381640647665","343.2825604753864","128.83070449550098"
"f","1","-61.0","-51.0","-65.0","340.8579980720005","226.1377582127925","590.2537360007143","106.48725165570909","313.9419227083988"
"f","1","-61.0","-51.0","-65.0","340.8579980720005","226.1377582127925","590.2537360007143","106.48725165570909","313.9419227083988"
"f","1","-61.0","-53.0","-66.0","340.8579980720005","253.90269096347905","639.3757271623583","56.15237863771459","335.0327139856591"
"f","1","-61.0","-53.0","-66.0","340.8579980720005","253.90269096347905","639.3757271623583","56.15237863771459","335.0327139856591"
"f","1","-61.0","-53.0","-70.0","340.8579980720005","253.90269096347905","880.2899555664785","-248.93852585131734","563.850892352433"
"f","1","-61.0","-53.0","-70.0","340.8579980720005","253.90269096347905","880.2899555664785","-248.93852585131734","563.850892352433"
"f","1","-61.0","-51.0","-59.0","340.8579980720005","226.1377582127925","365.37122598930904","285.57336839060093","179.62733515722988"
"f","1","-61.0","-51.0","-59.0","340.8579980720005","226.1377582127925","365.37122598930904","285.57336839060093","179.62733515722988"
"f","1","-59.0","-50.0","-55.0","296.11472294300324","213.4155067038116","265.37789261810445","314.3820860443212","129.3856237692178"
"f","1","-59.0","-50.0","-55.0","296.11472294300324","213.4155067038116","265.37789261810445","314.3820860443212","129.3856237692178"
"f","1","-59.0","-50.0","-61.0","296.11472294300324","213.4155067038116","428.7154582184199","219.90582085681825","200.24282265984502"
"f","1","-59.0","-50.0","-61.0","296.11472294300324","213.4155067038116","428.7154582184199","219.90582085681825","200.24282265984502"
"f","1","-59.0","-50.0","-57.0","296.11472294300324","213.4155067038116","311.3863291416886","292.26873597272964","145.97063632291145"
"f","1","-59.0","-50.0","-57.0","296.11472294300324","213.4155067038116","311.3863291416886","292.26873597272964","145.97063632291145"
"f","1","-60.0","-50.0","-57.0","317.69965637689495","213.4155067038116","311.3863291416886","303.3096880713843","154.25135039690244"
"f","1","-60.0","-50.0","-57.0","317.69965637689495","213.4155067038116","311.3863291416886","303.3096880713843","154.25135039690244"
"f","1","-60.0","-51.0","-65.0","317.69965637689495","226.1377582127925","590.2537360007143","93.77799899933015","304.4099832161146"
"f","1","-60.0","-51.0","-65.0","317.69965637689495","226.1377582127925","590.2537360007143","93.77799899933015","304.4099832161146"
"f","1","-61.0","-52.0","-59.0","340.8579980720005","239.61841610918935","365.37122598930904","285.57336839060093","171.77896059576838"
"f","1","-61.0","-52.0","-59.0","340.8579980720005","239.61841610918935","365.37122598930904","285.57336839060093","171.77896059576838"
"f","1","-61.0","-55.0","-59.0","340.8579980720005","285.0765700871315","365.37122598930904","285.57336839060093","141.96437875331014"
"f","1","-61.0","-55.0","-59.0","340.8579980720005","285.0765700871315","365.37122598930904","285.57336839060093","141.96437875331014"
"f","1","-61.0","-56.0","-67.0","340.8579980720005","302.0707233236139","692.5857399128766","-2.9090269008457352","345.85358637613507"
"f","1","-61.0","-56.0","-67.0","340.8579980720005","302.0707233236139","692.5857399128766","-2.9090269008457352","345.85358637613507"
"f","1","-61.0","-56.0","-69.0","340.8579980720005","302.0707233236139","812.6589937078965","-153.52538767056586","458.8158569534252"
"f","1","-61.0","-56.0","-69.0","340.8579980720005","302.0707233236139","812.6589937078965","-153.52538767056586","458.8158569534252"
"f","1","-61.0","-56.0","-61.0","340.8579980720005","302.0707233236139","428.7154582184199","243.6560256118518","160.92979699161194"
"f","1","-61.0","-56.0","-61.0","340.8579980720005","302.0707233236139","428.7154582184199","243.6560256118518","160.92979699161194"
"f","1","-61.0","-56.0","-67.0","340.8579980720005","302.0707233236139","692.5857399128766","-2.9090269008457352","345.85358637613507"
"f","1","-61.0","-56.0","-67.0","340.8579980720005","302.0707233236139","692.5857399128766","-2.9090269008457352","345.85358637613507"
"f","1","-61.0","-56.0","-62.0","340.8579980720005","302.0707233236139","464.39393963245357","217.10203640191747","180.84528889906267"
"f","1","-61.0","-56.0","-62.0","340.8579980720005","302.0707233236139","464.39393963245357","217.10203640191747","180.84528889906267"
"f","1","-61.0","-56.0","-67.0","340.8579980720005","302.0707233236139","692.5857399128766","-2.9090269008457352","345.85358637613507"
"f","1","-61.0","-56.0","-67.0","340.8579980720005","302.0707233236139","692.5857399128766","-2.9090269008457352","345.85358637613507"
"f","1","-61.0","-57.0","-61.0","340.8579980720005","320.077942081885","428.7154582184199","243.65602561185176","146.92583809395785"
"f","1","-61.0","-57.0","-61.0","340.8579980720005","320.077942081885","428.7154582184199","243.65602561185176","146.92583809395785"
"f","1","-61.0","-57.0","-60.0","340.8579980720005","320.077942081885","395.77808500450413","266.2865685665161","129.95293087795957"
"f","1","-61.0","-57.0","-60.0","340.8579980720005","320.077942081885","395.77808500450413","266.2865685665161","129.95293087795957"
"f","1","-61.0","-57.0","-59.0","340.8579980720005","320.077942081885","365.37122598930904","285.57336839060093","115.48783100989597"
"f","1","-61.0","-57.0","-59.0","340.8579980720005","320.077942081885","365.37122598930904","285.57336839060093","115.48783100989597"
"f","1","-61.0","-56.0","-59.0","340.8579980720005","302.0707233236139","365.37122598930904","285.573368390601","129.49178990755004"
"f","1","-61.0","-56.0","-59.0","340.8579980720005","302.0707233236139","365.37122598930904","285.573368390601","129.49178990755004"
