"label","n","rssi1","rssi2","rssi3","dist1","dist2","dist3","x","y"
"e","5","-56.0","-36.0","-46.0","239.76719888702527","94.87819711206384","129.2433295590607","333.987059522182","122.61775207698187"
"e","5","-65.0","-35.0","-53.0","451.64838795074616","89.54045831108701","226.1673660643619","427.36215738834716","236.93934778867484"
"e","5","-70.0","-33.0","-53.0","642.0726690888006","79.74897168272915","226.1673660643619","600.9213624319377","369.1807455590012"
"e","5","-64.0","-33.0","-48.0","420.962801127586","79.74897168272915","151.65018291617812","428.509918295561","204.67978808924266"
"e","5","-69.0","-33.0","-48.0","598.4494055950508","79.74897168272915","151.65018291617812","579.2865942321328","317.76229504167156"
"e","5","-63.0","-33.0","-51.0","392.3620335217687","79.74897168272915","192.75033412862905","397.32939503553285","198.98803730445638"
"e","5","-64.0","-33.0","-52.0","420.962801127586","79.74897168272915","208.79136806366714","411.34653712940485","217.5523239638598"
"e","5","-70.0","-33.0","-53.0","642.0726690888006","79.74897168272915","226.1673660643619","600.9213624319377","369.1807455590012"
"e","5","-69.0","-33.0","-53.0","598.4494055950508","79.74897168272915","226.1673660643619","555.8250113204822","335.35848222540955"
"e","5","-65.0","-33.0","-53.0","451.64838795074616","79.74897168272915","226.1673660643619","427.36215738834716","239.0113417763083"
"e","5","-64.0","-33.0","-49.0","420.962801127586","79.74897168272915","164.27078739611517","425.1873236178699","207.17173409751103"
"e","5","-61.0","-33.0","-48.0","340.8579980720005","79.74897168272915","151.65018291617812","377.6553307259514","166.53884741203547"
"e","5","-62.0","-33.0","-48.0","365.7044397675386","79.74897168272915","151.65018291617812","392.2849660726491","177.5110739220588"
"e","5","-62.0","-33.0","-53.0","365.7044397675386","79.74897168272915","226.1673660643619","368.82338316099856","195.10726110579682"
"e","5","-62.0","-33.0","-53.0","365.7044397675386","79.74897168272915","226.1673660643619","368.82338316099856","195.10726110579682"
"e","5","-62.0","-33.0","-48.0","365.7044397675386","79.74897168272915","151.65018291617812","392.2849660726491","177.5110739220588"
"e","5","-54.0","-32.0","-51.0","208.29377063422808","75.2623857921254","192.75033412862905","305.1946696486052","130.7563329759232"
"e","5","-69.0","-32.0","-52.0","598.4494055950508","75.2623857921254","208.79136806366714","562.1232130659766","331.5041706279512"
"e","5","-57.0","-34.0","-52.0","257.2447460220365","84.50301458711084","208.79136806366714","318.8175199817036","147.17948486576304"
"e","5","-58.0","-33.0","-48.0","275.9962983390512","79.74897168272915","151.65018291617812","344.31348226529025","141.5324610665396"
"e","5","-59.0","-34.0","-53.0","296.11472294300324","84.50301458711084","226.1673660643619","330.4435430592671","165.3463047921773"
"e","5","-64.0","-34.0","-53.0","420.962801127586","84.50301458711084","226.1673660643619","405.0483353839104","221.29989903565973"
"e","5","-61.0","-34.0","-53.0","340.8579980720005","84.50301458711084","226.1673660643619","354.1937478143007","183.1589583584525"
"e","5","-59.0","-33.0","-53.0","296.11472294300324","79.74897168272915","226.1673660643619","330.4435430592671","166.32238102949825"
"e","5","-57.0","-34.0","-52.0","257.2447460220365","84.50301458711084","208.79136806366714","318.8175199817036","147.17948486576304"
"e","5","-55.0","-30.0","-65.0","223.47709934260686","67.03224426725609","590.2537360007143","51.28545088982039","330.8467770314851"
"e","5","-55.0","-31.0","-68.0","223.47709934260686","71.02821008975387","750.2239868559503","-127.41168043620983","464.18001945469626"
"e","5","-55.0","-31.0","-54.0","223.47709934260686","71.02821008975387","244.98942627213066","291.601829121198","149.91988728664043"
"e","5","-54.0","-38.0","-55.0","208.29377063422808","106.52723256347221","265.37789261810445","277.46739082883187","144.4472613876165"
"e","5","-54.0","-33.0","-56.0","208.29377063422808","79.74897168272915","287.4631242745907","267.29270588942967","158.31346608364234"
"e","5","-54.0","-33.0","-64.0","208.29377063422808","79.74897168272915","544.9056916956293","88.72006836894347","292.242944224007"
"e","5","-54.0","-50.0","-58.0","208.29377063422808","213.4155067038116","337.3004666981788","241.345575041846","128.7909641978402"
"e","5","-54.0","-35.0","-58.0","208.29377063422808","89.54045831108701","337.3004666981788","241.34557504184596","175.70182023169667"
"e","5","-54.0","-34.0","-55.0","208.29377063422808","84.50301458711084","265.37789261810445","277.46739082883187","149.70637614176974"
"e","5","-55.0","-33.0","-54.0","223.47709934260686","79.74897168272915","244.98942627213066","291.601829121198","148.27627246676727"
"e","5","-55.0","-34.0","-63.0","223.47709934260686","84.50301458711084","503.0416492644326","130.7425941965875","267.9446224229042"
"e","5","-55.0","-34.0","-54.0","223.47709934260686","84.50301458711084","244.98942627213066","291.601829121198","147.30019622944636"
"e","5","-55.0","-33.0","-55.0","223.47709934260686","79.74897168272915","265.37789261810445","282.930490033466","154.77977678256627"
"e","5","-55.0","-32.0","-67.0","223.47709934260686","75.2623857921254","692.5857399128766","-58.11082766673453","411.4301047693792"
"e","5","-55.0","-32.0","-69.0","223.47709934260686","75.2623857921254","812.6589937078965","-208.72718843645458","524.3923753466693"
"e","5","-55.0","-31.0","-53.0","223.47709934260686","71.02821008975387","226.1673660643619","298.9919470484119","144.37729884123002"
"e","5","-55.0","-31.0","-50.0","223.47709934260686","71.02821008975387","177.9417015715377","315.23230397700934","132.19703114478196"
"e","5","-55.0","-30.0","-56.0","223.47709934260686","67.03224426725609","287.4631242745907","272.7558050940638","164.74401137830247"
"e","5","-55.0","-30.0","-68.0","223.47709934260686","67.03224426725609","750.2239868559503","-127.41168043620983","464.8696255260078"
"e","5","-56.0","-32.0","-67.0","239.76719888702527","75.2623857921254","692.5857399128766","-51.82224789044705","416.14653960159484"
