label,rssi1,rssi2,rssi3,KF rssi1,KF rssi2,KF rssi3,dist1,dist2,dist3,measured dist1,measured dist2,measured dist3,estimated x,estimated y,estimated x (KF),estimated y (KF)
b,-43.76,-35.95,-49.07,-27.87811852472502,-16.99795400573169,-28.680852685584846,101.33867569699741,94.60390603341776,177.93314381164785,33.14947388600208,31.573292383596424,37.54182527846804,282.1744362711039,102.51870799072395,299.7412491447331,87.82158167517353
c,-56.39,-42.7,-48.0,-28.240892792374318,-16.859742727378134,-27.048239024122722,246.4375597492167,139.8466490943971,163.98143552450733,34.0064925230264,31.321622940776507,33.14415520948147,328.20129971539217,117.81700720372753,300.04825542430706,87.68305526936282
d,-53.0,-45.74,-54.2,-27.80236688568565,-17.428830406584765,-27.038201930821984,194.142017292385,166.762839295493,263.1942554763627,32.97326224761182,32.370929348562335,33.1187778871436,273.68325563549985,119.58915615895296,299.9919854787599,87.55520958638031
e,-62.23,-29.0,-56.66,-29.528340136106504,-14.118387359330052,-27.61313035323571,371.6706643325218,63.26108690937249,317.54571056078123,37.230771794053155,26.72434627909152,34.60419119548527,331.08650369152224,231.85651924188699,300.1572336000727,88.22199940536562
f,-58.15,-52.76,-61.32,-30.11945893576116,-16.627742668512354,-29.19554610795258,278.9245678821729,250.39865812686588,453.1572830811128,38.811882239089805,30.90367486251206,39.04572249027737,193.7061594656676,186.0946636214016,299.9848281317943,88.20053525482062
a,-58.0,-54.72,-60.03,-30.590714892476193,-19.29821691048377,-30.293346043254665,275.9962983390512,280.49190624323836,410.6723933443406,40.12035365121084,36.071552710965754,42.457750717709835,222.9351183680748,142.1714702600601,299.83915181757584,88.00624346446592
b,-44.0,-35.57,-49.33,-27.80139604752987,-17.271512910533602,-28.806758162871034,103.06443887395848,92.54504395272531,181.4988290870039,32.97100999715753,32.0773946576144,37.904272911056744,281.4003780003754,104.02183324995855,299.7086279960973,87.79118931819241
c,-56.67,-42.82,-48.0,-28.22985834768143,-17.118062979156146,-27.184508876434325,251.34068131427787,140.82174378440703,163.98143552450733,33.980100875160666,31.793640924488603,33.49062393167109,330.2351890723727,119.00032639702576,300.02752113679463,87.65912371271753
d,-53.0,-45.99,-54.5,-27.786931062673847,-17.70088966882777,-27.246712701379447,194.142017292385,169.19442874720525,269.28928302716963,32.93747085005685,32.884911108639955,33.64998004137372,270.97867077089137,120.59645712091096,299.96046319101123,87.53397711596055
e,-61.74,-29.0,-56.98,-29.398520385106465,-14.343559680489136,-27.884681997266597,359.0752565465058,63.26108690937249,325.39566199875287,36.89225232660666,27.075065985160514,35.328770653350944,319.2105858469437,229.258404048522,300.09409687154414,88.21440120087841
f,-58.89,-52.64,-62.19,-30.170442391083032,-16.78280356918122,-29.642302482467144,293.83177550746063,248.664817916089,484.2645629498298,38.95135709147187,31.182394349701383,40.3998691345467,176.5207878073976,210.73805993023316,299.9042156609824,88.25292138162204
a,-58.0,-54.04,-55.08,-30.63327973936252,-19.26369689943377,-29.56427729362455,275.9962983390512,269.662339968029,281.47611859417975,40.24068785107602,35.9995240109443,40.160030214173126,297.45429279834485,93.72950427602346,300.005404109937,87.90013095468868
b,-43.56,-35.54,-50.0,-27.736144811306552,-17.219437694026492,-28.323703460978127,99.92263448932913,92.38442342472537,191.02011863981255,32.819985566733266,31.98081640441417,36.532439048532446,277.91320596509996,105.87715951588638,299.7854436248048,87.72889082478102
c,-56.95,-43.95,-48.0,-28.23407344431982,-17.316879157978576,-26.77293132624661,256.3413553835362,150.3439487905914,163.98143552450733,33.99017991968915,32.161768196492424,32.45507728177787,332.3508160693252,117.12137237540662,300.08500024133883,87.58744106580578
d,-52.28,-45.01,-54.27,-27.625474445020256,-17.64096555605406,-26.85010908334195,184.5519687083098,159.86076615542646,264.60397312181436,32.565418200190074,32.771004525592204,32.64679027382447,270.03680546855264,120.60235164647683,299.9955779561418,87.48652618906473
e,-62.35,-29.0,-55.21,-29.395173286529143,-14.279652580161319,-27.154301180330847,374.82201685125665,63.26108690937249,284.28244463839223,36.88356521704234,26.975061581318155,33.41350916316121,349.7291966557193,220.8150765075712,300.203278990436,88.1384700519279
f,-58.29,-52.83,-62.05,-30.032039465268042,-16.76090156526221,-28.99428734509524,281.68564346351167,251.41564246305657,479.1183229984073,38.57389114986666,31.14287391294815,38.450616055736134,174.82702858387208,201.55094913502236,300.0079126694801,88.14164860149488
a,-58.0,-53.76,-60.21,-30.5134632257847,-19.173568178565574,-30.193284683168557,275.9962983390512,265.32557114927573,416.3524337331575,39.902875502123926,35.81214066007937,42.13477973260236,219.02050635111266,155.45499272562694,299.8474165085193,88.00160018696143
b,-43.72,-35.47,-50.02,-27.670585473841474,-17.11879358268478,-28.909069556073376,101.05387110517792,92.01072546937735,191.31188671232883,32.66894470684015,31.794985963860878,38.20137512013103,278.0097057232591,106.17510978748162,299.67326240599135,87.8154767152771
c,-56.64,-44.0,-48.0,-28.11015326415764,-17.236299324067883,-27.30346805627437,250.8107146717639,150.77985049497892,163.98143552450733,33.69510904827007,32.012055964597145,33.79603950084249,330.01341949790236,115.20424947516422,299.9943234065269,87.64249325347271
d,-53.0,-44.01,-54.89,-27.685256686013815,-17.340921644531853,-27.46374213603884,194.142017292385,150.86718237923128,277.42432191059817,32.70268493676859,32.20657308638775,34.21193567268699,267.2723904090012,130.70847739238462,299.9158408830012,87.60337215287996
e,-61.9,-29.0,-55.49,-29.35014234278218,-14.016967395082283,-27.754996462958736,363.140392340079,63.26108690937249,290.4222335544738,36.76688992741935,26.567865954384956,34.98085818222665,339.60489233844766,217.6325550361034,300.10678646314165,88.22735101959978
f,-59.0,-50.81,-61.7,-30.157974223101387,-16.07538663228674,-29.43231646537278,296.11472294300324,223.66350764431652,466.4907164347018,38.91720183730631,29.9309132094435,39.7576363427391,191.72528385320845,215.77924272490904,299.94489912607014,88.31468694706537
a,-58.0,-53.24,-58.02,-30.627126758260907,-18.46341487522176,-30.0640997726006,275.9962983390512,257.4557585920991,352.2732455412798,40.2232705950676,34.3694021680817,41.72143659241237,260.06459764389314,129.81466309786185,299.89769435502444,88.12254884869758
b,-44.0,-35.39,-50.46,-27.835115938041262,-16.49524130995075,-28.879402041082905,103.06443887395848,91.58549269851991,197.8447491878605,33.049327071685596,30.66748062942256,38.114984651088854,276.2331114826638,108.11813649746881,299.6995883041155,87.91501333658246
c,-56.29,-43.28,-49.2,-28.174090918120356,-16.55002981166333,-27.537285708241775,244.7097229433359,144.6230075281897,179.7071430343924,33.8470320578656,30.764925811759657,34.40448359286655,322.9901593711839,118.96617321724383,299.9682942398619,87.77270546875745
d,-52.31,-43.17,-55.15,-27.58202761533414,-16.577919373679947,-27.71565619031363,184.94192966892382,143.70477748653272,282.9837573169067,32.466021060721815,30.814648209685462,34.87599735670297,261.76975870372604,133.1132488187196,299.86475610990874,87.73205789160414
e,-63.28,-29.0,-56.0,-29.57133164989915,-13.383459930414244,-28.07798338125764,400.1684683437559,63.26108690937249,301.9481616821755,37.34356022247779,25.61095594746201,35.85378097336327,357.46842559445196,239.56472822870148,300.0908732333366,88.3551206069313
f,-58.05,-52.0,-60.8,-30.13386547060331,-15.831115266962463,-29.49502968947383,276.96895634738223,239.6184161091893,435.526929453248,38.85124333017711,29.51054625468606,39.94836525124181,205.8567470843197,182.2259614886121,299.9279560183783,88.3522164462796
a,-57.49,-52.41,-58.67,-30.486442999545908,-18.102493242724258,-30.2500256513263,266.2682095380698,245.3751106639817,370.18779769054055,39.827087025586145,33.658584021117704,42.31762143891262,244.8831282096974,142.19992193928718,299.8295131472471,88.19448586786092
b,-43.76,-36.0,-50.24,-27.654951584568472,-16.35793960792224,-28.976260829223158,101.33867569699741,94.87819711206384,194.55089884977937,32.63302886406285,30.424633723666066,38.39775770496617,277.0162291239701,106.32239678800438,299.65877231339454,87.92999105948348
c,-56.76,-43.24,-49.0,-28.12313985049436,-16.459564330951586,-27.560597865874477,252.9373096744283,144.2884288081206,176.98517810432082,33.72591134249882,30.60419261890989,34.46574416888262,327.21127446393285,121.03920907382725,299.9579579789727,87.78255712830392
d,-52.0,-43.6,-54.68,-27.468779666610587,-16.632004667930172,-27.614201474055196,180.95175272689156,147.32771871908557,273.01384311121535,32.208357456398964,30.911302339079562,34.60701986434524,265.17248190381565,127.41823871209338,299.86644372179,87.702504305834
e,-62.49,-33.32,-56.76,-29.29502810405451,-14.444900519343118,-28.14906513841286,378.53238172135065,81.24042134802995,319.9782596381423,36.624590980248975,27.23440885576882,36.04879630144704,334.0838978088199,232.79552408192617,300.03487079140604,88.22340645487962
f,-58.05,-52.0,-60.11,-29.896199671779442,-16.78383517964232,-29.389834924499258,276.96895634738223,239.6184161091893,413.1872257915931,38.20697276928938,31.184257045558507,39.62895539884481,221.65676601900427,170.37594728759868,299.9077655518247,88.17831943701869
a,-57.0,-54.03,-58.3,-30.174155400064315,-19.3117248200207,-30.064283534111404,257.2447460220365,269.50624160462155,359.8814654971675,38.96153428623374,36.09977723419878,41.72202167078924,247.2168251229609,119.01393752289607,299.8143950513663,87.90771275844848
b,-43.7,-35.28,-50.0,-27.37759658673335,-17.24521879486751,-28.752455529529,100.91176910807691,91.0040046475309,191.02011863981255,32.00238307218902,32.028593416356266,37.74752321298665,278.07874951612814,106.3177582161964,299.6660641779868,87.74835402409597
c,-56.6,-42.76,-48.85,-27.856399310210985,-17.10559901274612,-27.327379046962896,250.10583035464853,140.33334952134172,174.97079505937782,33.098855099962044,31.770703555104745,33.857763899439384,326.6151227113979,121.1130047033381,299.9576550272151,87.63945448526611
d,-51.62,-44.31,-54.43,-27.16333458148478,-17.32929718579949,-27.353406159066736,176.17781985933212,153.51079210927173,267.8546036853002,31.523553697546607,32.18490228935724,33.92507904980552,266.0771129124817,122.28349146110278,299.86901954098886,87.54556847219169
e,-63.16,-28.1,-56.52,-29.19628746126984,-13.833564585053507,-27.86955527022365,396.80401307181864,60.04878850539824,314.17117823461564,36.37102921120598,26.287217630520882,35.28801197912255,348.9582462971445,243.0907750133091,300.06467331370317,88.24128745863273
f,-58.43,-51.43,-59.75,-29.91372607785734,-16.083954505092304,-29.069733744091824,284.4740509447392,231.8389173725356,401.99040719632296,38.25411672974744,29.945765878070734,38.67263490359733,232.77433181920375,171.88950370114802,299.9731706303218,88.2284077181948
a,-56.52,-59.36,-57.16,-30.09654610435164,-19.889020549887785,-29.534265611638993,248.70199922317227,366.9466499279449,329.8962335795385,38.74936263724818,37.32689297492245,40.06815796878361,260.8509662396978,25.86532597555293,299.91337985148465,87.70023531842611
b,-43.76,-36.0,-50.23,-27.33750466988976,-17.90007706419505,-28.353954012692284,101.33867569699741,94.87819711206384,194.40248831259603,31.912236439722257,33.266388853275494,36.616871722915675,277.0643331082435,106.28631879979933,299.73132961651027,87.59117554667657
