SSID,BSSID,A,n,x,y
TP-LINK_E630,c0:25:e9:7a:e6:2f,-31.868,3.8212191560717515,0,0
TOTOLINK_N210RE,14:4d:67:98:2b:64,-33.88,2.821745367236229,300,400
D-Link_DIR-612,18:0f:76:91:f2:72,-42.791,2.8803998698559017,600,0
