"measurement","measurement count"
"0.8193622171868983","5"
"0.5391841926188146","48"
"0.4732190631396508","25"
"0.343843901048549","23"
"0.21306638637305053","119"
"0.3116086343590846","96"
"0.10041795530161379","160"
"0.5362132501735968","44"
"0.7561199988834624","146"
"0.028355938964068628","46"
"1.6233862313249872","49"
"0.1755636336174735","71"
"0.39781111890130627","23"
"1.9989202508862132","28"
"7.745534819622083","23"
"4.121246086197691","24"
"1.2948777369694207","24"
"1.00750608688602","46"
"avg","0.7679539350817223"
