label,acc dist1,acc dist2,acc dist3,acc estimated x,acc estimated y,acc estimated,acc predicted x,acc predicted y,acc predicted,acc measured x,acc measured y,acc measured
a,122.44445066171264,83.4232784154842,166.21203699182195,152.90175713897418,36.18599082087117,164.2833649636306,42.66742000255261,53.655953067759626,76.42087680297291,142.4246823151517,34.5457049336691,153.5212329203943
b,212.54836689977384,204.44821544993388,139.33332054233693,17.149308302876587,2.7264314095709214,17.440272004877734,78.90356753222885,88.99416529731513,130.27377064972583,17.511862059308687,5.692858807150633,19.040709463523086
c,276.9868061370433,217.8997021158496,28.43703238812727,178.72382990757666,14.262083267013352,179.35961493307542,173.51688264904988,32.8993664341268,183.21452728279056,178.2875310598323,12.361779157837278,178.79619805602448
d,404.5033297185338,69.42506909378665,51.476102464401,236.56789562574565,174.9638697885649,295.1194212393978,138.93359576425027,169.01884222538538,219.29057624149368,229.5580075564498,174.5370175165529,289.17092109247574
e,93.25368635303911,35.55123128465289,136.21692168024407,25.98690176473684,95.31812665556993,102.0639972490738,93.84806390270516,161.2894589445772,192.20327592716828,18.95613375213727,100.05465921752824,104.34272066045324
f,41.8876654505375,22.09203925667955,153.89339124938317,109.6206532181778,124.46056751700976,166.3186790806788,275.76568183858865,48.90691752888013,281.65882447751835,121.44726215844156,116.60877596813829,168.75965838921428
